variable,lower,upper,units,Distribution,Mean_D,Std_D,Dependencies,use.default,default
Cab,5,75,ug cm-2,Gaussian,50,20,No,1,40
Car,0,20,ug cm-2,Uniform,-,-,Yes,1,10
Anth,0,4.5,-,Uniform,-,-,No,1,0
LMA,0.001,0.035,g cm-2,Uniform,-,-,No,0,0
EWT,0.001,0.035,cm,Uniform,-,-,No,1,0.009
Cbrown,0,1,-,Uniform,-,-,No,1,0
Prot,0.00001,0.03,g cm-2,Uniform,-,-,No,1,0
CBC,0.00001,0.03,g cm-2,Uniform,-,-,No,1,0
N,1.5,2.5,-,Uniform,-,-,No,1,1.5
alpha,0,90,-,Uniform,-,-,No,0,40
LIDFa,30,70,degree,Uniform,-,-,No,1,45
LIDFb,0,0,degree,Uniform,-,-,No,0,0
TypeLidf,1,2,-,Uniform,-,-,No,0,2
LAI,2,5,m2 m-2,Uniform,-,-,No,1,3
hspot,0,1,-,Uniform,-,-,No,0,0
tts,0,0,deg,Uniform,-,-,No,0,0
tto,15,30,deg,Uniform,-,-,No,1,0
psi,0,180,deg,Uniform,-,-,No,0,0
